,To_Country,Year,Total_Points,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
1070,Austria,1977,11,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,,NaN,,3,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,5,NaN,,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,
1071,Sweden,1977,2,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,2,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,
1072,United Kingdom,1976,164,NaN,NaN,NaN,10,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,7,NaN,8,12,NaN,NaN,3,12,4,NaN,NaN,NaN,8,NaN,NaN,10,NaN,10,NaN,12,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,12,NaN,NaN,
1073,France,1976,147,NaN,NaN,NaN,12,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,,NaN,12,5,NaN,NaN,7,5,6,NaN,NaN,NaN,10,NaN,NaN,12,NaN,12,NaN,8,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,10,NaN,NaN,8
1074,Monaco,1976,93,NaN,NaN,NaN,5,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,,NaN,7,,NaN,NaN,8,7,7,NaN,NaN,NaN,12,NaN,NaN,,NaN,8,NaN,5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,5,NaN,NaN,5
1075,Switzerland,1976,91,NaN,NaN,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,6,NaN,5,2,NaN,NaN,1,4,,NaN,NaN,NaN,1,NaN,NaN,4,NaN,6,NaN,10,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,,NaN,NaN,12
1076,Austria,1976,80,NaN,NaN,NaN,,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,,NaN,10,6,NaN,NaN,10,10,,NaN,NaN,NaN,5,NaN,NaN,5,NaN,7,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,3,NaN,NaN,4
1077,Israel,1976,77,NaN,NaN,NaN,6,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,,NaN,3,,NaN,NaN,4,,10,NaN,NaN,NaN,7,NaN,NaN,1,NaN,2,NaN,7,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,7,NaN,NaN,6
1078,Italy,1976,69,NaN,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,10,NaN,,10,NaN,NaN,12,2,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,3,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,8,NaN,NaN,1
1079,Belgium,1976,68,NaN,NaN,NaN,3,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,5,NaN,,,NaN,NaN,,1,8,NaN,NaN,NaN,,NaN,NaN,8,NaN,4,NaN,6,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,6,NaN,NaN,7
1080,Netherlands,1976,56,NaN,NaN,NaN,4,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,4,7,NaN,NaN,2,8,2,NaN,NaN,NaN,4,NaN,NaN,2,NaN,,NaN,1,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,4,NaN,NaN,
1081,Ireland,1976,54,NaN,NaN,NaN,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,3,NaN,1,8,NaN,NaN,,3,12,NaN,NaN,NaN,3,NaN,NaN,6,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,,NaN,NaN,10
1082,Finland,1976,44,NaN,NaN,NaN,7,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,6,,NaN,NaN,5,6,,NaN,NaN,NaN,,NaN,NaN,7,NaN,1,NaN,4,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,,NaN,NaN,2
1083,Portugal,1976,24,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,12,NaN,,4,NaN,NaN,,,1,NaN,NaN,NaN,6,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,
1084,Greece,1976,20,NaN,NaN,NaN,,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,8,NaN,,,NaN,NaN,,,5,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,
1085,Luxembourg,1976,17,NaN,NaN,NaN,,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,6,,,NaN,NaN,NaN,,NaN,NaN,,NaN,5,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,
1086,Germany,1976,12,NaN,NaN,NaN,,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,2,NaN,NaN,
1087,Spain,1976,11,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,NaN,,1,NaN,NaN,,,3,NaN,NaN,NaN,,NaN,NaN,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,3
1088,Yugoslavia,1976,10,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,4,NaN,2,3,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,1,NaN,NaN,
1089,Norway,1976,7,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,3,NaN,,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,
1090,Netherlands,1975,152,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,5,NaN,8,NaN,NaN,NaN,8,12,1,NaN,NaN,NaN,10,12,NaN,10,NaN,,NaN,12,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,12,12,6,4,NaN,12
1091,United Kingdom,1975,138,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,12,NaN,10,NaN,NaN,NaN,3,10,3,NaN,NaN,NaN,12,8,NaN,12,NaN,4,NaN,7,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,10,5,8,,NaN,
1092,Italy,1975,115,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,4,NaN,4,NaN,NaN,NaN,6,5,,NaN,NaN,NaN,3,10,NaN,1,NaN,,NaN,6,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,7,1,10,10,NaN,10
1093,France,1975,91,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,12,7,8,NaN,NaN,NaN,,7,NaN,7,NaN,8,NaN,,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,8,8,3,1,NaN,8
1094,Luxembourg,1975,84,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,NaN,,NaN,NaN,NaN,10,6,10,NaN,NaN,NaN,,5,NaN,,NaN,12,NaN,,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,6,4,,5,NaN,3
1095,Switzerland,1975,77,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,10,NaN,6,NaN,NaN,NaN,2,,12,NaN,NaN,NaN,2,6,NaN,5,NaN,7,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,7,NaN,5
1096,Finland,1975,74,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,12,NaN,NaN,NaN,5,8,,NaN,NaN,NaN,6,,NaN,8,NaN,,NaN,10,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,1,3,12,,NaN,4
1097,Sweden,1975,72,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,7,NaN,,NaN,NaN,NaN,,3,,NaN,NaN,NaN,7,2,NaN,6,NaN,,NaN,8,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,5,,1,8,NaN,7
1098,Ireland,1975,68,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,NaN,,NaN,NaN,NaN,,,4,NaN,NaN,NaN,,4,NaN,,NaN,6,NaN,4,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,3,10,7,,NaN,6
1099,Spain,1975,53,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,,NaN,5,NaN,NaN,NaN,7,4,6,NaN,NaN,NaN,,,NaN,4,NaN,,NaN,3,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,5,3,NaN,
1100,Israel,1975,40,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1,NaN,1,NaN,NaN,NaN,1,,2,NaN,NaN,NaN,1,,NaN,,NaN,10,NaN,5,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,6,2,6,NaN,1
1101,Malta,1975,32,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,8,NaN,,NaN,NaN,NaN,,1,,NaN,NaN,NaN,5,,NaN,,NaN,1,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,4,2,NaN,
1102,Yugoslavia,1975,22,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,2,NaN,NaN,NaN,4,,,NaN,NaN,NaN,,,NaN,,NaN,3,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,7,,,NaN,
1103,Monaco,1975,22,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,,NaN,3,NaN,NaN,NaN,,2,5,NaN,NaN,NaN,4,1,NaN,,NaN,,NaN,,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,2
1104,Belgium,1975,17,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,7,NaN,NaN,NaN,,,,NaN,NaN,NaN,,,NaN,,NaN,5,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,2,,,NaN,
1105,Portugal,1975,16,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2,NaN,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,2,,,12,NaN,
1106,Germany,1975,15,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,,,,NaN,NaN,NaN,8,3,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,4,,,,NaN,
1107,Norway,1975,11,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,,,7,NaN,NaN,NaN,,,NaN,2,NaN,2,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
1108,Turkey,1975,3,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,,NaN,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
1109,Sweden,1974,24,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,2,,NaN,NaN,1,2,,NaN,NaN,NaN,1,NaN,NaN,,NaN,3,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,,5,NaN,NaN,
1110,Italy,1974,18,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,,,NaN,NaN,1,1,,NaN,NaN,NaN,1,NaN,NaN,4,NaN,,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,,,NaN,NaN,5
1111,Netherlands,1974,15,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,2,NaN,NaN,1,1,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,3,,NaN,NaN,
1112,United Kingdom,1974,14,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,1,NaN,NaN,1,,3,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,1,NaN,NaN,
1113,Luxembourg,1974,14,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1,NaN,NaN,3,2,2,NaN,NaN,NaN,,NaN,NaN,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,1,,,NaN,NaN,
1114,Monaco,1974,14,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2,,NaN,NaN,1,1,,NaN,NaN,NaN,2,NaN,NaN,,NaN,,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,1,1,NaN,NaN,
1115,Israel,1974,11,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,1,,3,NaN,NaN,NaN,,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,1,,NaN,NaN,2
1116,Ireland,1974,11,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,1,,NaN,NaN,NaN,2,NaN,NaN,1,NaN,,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,2,2,,NaN,NaN,1
1117,Spain,1974,10,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,,NaN,NaN,,,,NaN,NaN,NaN,1,NaN,NaN,3,NaN,1,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,
1118,Belgium,1974,10,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,5,NaN,NaN,,,,NaN,NaN,NaN,3,NaN,NaN,,NaN,,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,
1119,Greece,1974,7,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,4,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,2,,NaN,NaN,
1120,Yugoslavia,1974,6,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,NaN,,,2,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,,,NaN,NaN,
1121,Finland,1974,4,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,1,2,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,1
1122,Norway,1974,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,1,,NaN,NaN,
1123,Germany,1974,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,1,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,1,NaN,NaN,
1124,Switzerland,1974,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,1
1125,Portugal,1974,3,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,1,,2,NaN,NaN,
1126,Luxembourg,1973,129,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,10,NaN,7,NaN,NaN,NaN,8,8,9,NaN,NaN,NaN,,NaN,NaN,7,NaN,9,NaN,8,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,6,8,10,NaN,NaN,10
1127,Spain,1973,125,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,9,NaN,9,NaN,NaN,NaN,10,8,10,NaN,NaN,NaN,8,NaN,NaN,9,NaN,10,NaN,4,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,,7,8,NaN,NaN,4
1128,United Kingdom,1973,123,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,8,NaN,7,NaN,NaN,NaN,9,9,5,NaN,NaN,NaN,10,NaN,NaN,8,NaN,10,NaN,7,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,4,9,8,NaN,NaN,
1129,Israel,1973,97,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,5,NaN,7,NaN,NaN,NaN,7,,7,NaN,NaN,NaN,8,NaN,NaN,7,NaN,6,NaN,5,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,4,6,6,NaN,NaN,5
1130,Sweden,1973,94,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,NaN,5,NaN,NaN,NaN,5,5,5,NaN,NaN,NaN,6,NaN,NaN,5,NaN,6,NaN,8,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,7,,9,NaN,NaN,7
1131,Finland,1973,93,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,4,NaN,6,NaN,NaN,NaN,5,5,2,NaN,NaN,NaN,6,NaN,NaN,5,NaN,5,NaN,6,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,6,7,6,NaN,NaN,9
1132,Norway,1973,89,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,6,NaN,6,NaN,NaN,NaN,3,9,5,NaN,NaN,NaN,7,NaN,NaN,7,NaN,3,NaN,,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,6,3,7,NaN,NaN,3
1133,Germany,1973,85,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,7,NaN,,NaN,NaN,NaN,6,4,3,NaN,NaN,NaN,7,NaN,NaN,5,NaN,5,NaN,4,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,9,6,7,NaN,NaN,5
1134,Monaco,1973,85,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,5,NaN,4,NaN,NaN,NaN,6,4,8,NaN,NaN,NaN,6,NaN,NaN,,NaN,5,NaN,3,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,6,4,5,NaN,NaN,9
1135,Portugal,1973,80,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,6,NaN,5,NaN,NaN,NaN,4,5,3,NaN,NaN,NaN,4,NaN,NaN,4,NaN,5,NaN,5,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,8,2,8,NaN,NaN,5
1136,Ireland,1973,80,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,4,NaN,4,NaN,NaN,NaN,,4,5,NaN,NaN,NaN,6,NaN,NaN,6,NaN,6,NaN,6,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,7,5,5,NaN,NaN,5
1137,Switzerland,1973,79,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,NaN,4,NaN,NaN,NaN,7,3,4,NaN,NaN,NaN,6,NaN,NaN,5,NaN,8,NaN,7,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,7,3,,NaN,NaN,7
1138,Italy,1973,74,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,5,NaN,5,NaN,NaN,NaN,4,4,,NaN,NaN,NaN,5,NaN,NaN,5,NaN,4,NaN,5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,5,5,7,NaN,NaN,5
1139,Netherlands,1973,69,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,6,NaN,5,NaN,NaN,NaN,5,2,4,NaN,NaN,NaN,7,NaN,NaN,4,NaN,,NaN,5,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,5,3,5,NaN,NaN,3
1140,Yugoslavia,1973,65,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,4,NaN,4,NaN,NaN,NaN,5,4,2,NaN,NaN,NaN,4,NaN,NaN,5,NaN,4,NaN,2,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,8,2,6,NaN,NaN,4
1141,France,1973,65,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,,NaN,4,NaN,NaN,NaN,5,2,2,NaN,NaN,NaN,3,NaN,NaN,5,NaN,5,NaN,4,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,5,5,4,NaN,NaN,5
1142,Belgium,1973,58,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,NaN,4,NaN,NaN,NaN,4,2,2,NaN,NaN,NaN,4,NaN,NaN,6,NaN,3,NaN,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,6,2,4,NaN,NaN,5
1143,Luxembourg,1972,128,NaN,NaN,NaN,8,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,8,NaN,9,NaN,NaN,NaN,9,NaN,9,NaN,NaN,NaN,,4,NaN,7,NaN,9,NaN,8,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,2,8,6,NaN,NaN,10
1144,United Kingdom,1972,114,NaN,NaN,NaN,7,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,9,NaN,8,NaN,NaN,NaN,6,NaN,7,NaN,NaN,NaN,8,2,NaN,9,NaN,8,NaN,10,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,2,6,8,NaN,NaN,
1145,Germany,1972,107,NaN,NaN,NaN,5,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,8,NaN,,NaN,NaN,NaN,6,NaN,7,NaN,NaN,NaN,7,4,NaN,8,NaN,6,NaN,6,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,9,8,5,NaN,NaN,5
1146,Netherlands,1972,106,NaN,NaN,NaN,6,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,6,NaN,6,NaN,NaN,NaN,8,NaN,3,NaN,NaN,NaN,7,3,NaN,5,NaN,,NaN,8,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,8,6,6,NaN,NaN,9
1147,Austria,1972,100,NaN,NaN,NaN,,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,6,NaN,6,NaN,NaN,NaN,6,NaN,6,NaN,NaN,NaN,5,5,NaN,5,NaN,9,NaN,5,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,6,10,7,NaN,NaN,3
1148,Italy,1972,92,NaN,NaN,NaN,6,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,5,NaN,4,NaN,NaN,NaN,3,NaN,,NaN,NaN,NaN,6,6,NaN,6,NaN,5,NaN,6,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,2,8,9,NaN,NaN,3
1149,Portugal,1972,90,NaN,NaN,NaN,4,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,NaN,3,NaN,NaN,NaN,7,NaN,9,NaN,NaN,NaN,10,5,NaN,4,NaN,5,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,7,7,6,NaN,NaN,4
1150,Switzerland,1972,88,NaN,NaN,NaN,8,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,5,NaN,4,NaN,NaN,NaN,6,NaN,5,NaN,NaN,NaN,7,4,NaN,6,NaN,5,NaN,7,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,5,4,,NaN,NaN,4
